Name,Plural,Abbreviation,Alt. Abbreviation,Prime,Class,Modifier,Qualifier,Short Description
GVT_DISABILITY_CD,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_DRAFT_STATUS,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_HIGH_GRADE,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_HIGH_PAY_PLAN,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_MIL_GRADE,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_MIL_RESRVE_CAT,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_MIL_SEP_RET,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_MIL_SVCE_END,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_MIL_SVCE_START,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_MIL_VERIFY,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_MILITARY_COMP,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_PAR_NBR_LAST,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_PAY_PLAN,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_PREV_AGCY_EMPL,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_PREV_FED_EMPL,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_SEP_INCENT_DT,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_SEP_INCENTIVE,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_TENURE,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_UNIF_SVC_CTR,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_VET_PREF_APPT,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_VET_PREF_RIF,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_YR_ATTAINED,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
HEALTH_CARE_NBR,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
HEALTH_CARE_STATE,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
HIGHEST_EDUC_LVL,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
HONSEKI_JPN,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
House,,,,true,false,false,false,
HR_RESPONSIBLE_ID,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
ID,,,ID,false,true,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
InCityLimit,,,IN_CITY_LIMIT,true,false,false,false,
Initials,,,,false,false,true,false,
Language,,,LANG,true,false,false,false,
Last,,,,false,false,true,false,
LastUpdate,,,LASTUPD,true,false,false,false,
LastUpdateOperator,,,LASTUPDOPR,true,false,false,false,
MaritalStatus,,,MAR_STATUS,true,false,false,false,
MEDICARE_ENTLD_DT,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
Middle,,,,false,false,true,false,
MILIT_SITUATN_ESP,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
MILIT_SITUATN_FRA,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
MILITARY_END_ITA,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
MILITARY_RANK_ITA,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
MILITARY_STAT_GER,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
MILITARY_STAT_ITA,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
MILITARY_STATUS,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
MILITARY_TYPE_ITA,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
Name,,,NM,true,true,false,false,
Number,,,NUM,false,true,false,false,
ORDER_BY_SEQ,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
Other,,,,false,false,true,false,
PARTNER_LAST_NAME,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
PARTNER_ROY_PREFIX,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
Phone,,,,true,false,false,false,
Place,,,PLACE_OF,false,false,true,false,
Postal,,,POSTAL,true,false,false,false,
Preferred,,,PREF,false,false,true,false,
Prefix,,,,false,false,true,false,
Region,,,,true,false,false,false,
Royal,,,,false,false,true,false,
SAL_ADMIN_PLAN,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
SCC_DISPLAY_FIELD,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
Search,,,SRCH,false,false,true,false,
Second,,,,false,false,true,false,
Sex,,,,true,false,false,false,
Short,,,,false,false,true,false,
SMOKER,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
SMOKER_DT,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
SMU_ID,,,EMPLID,true,false,false,false,
SOC_SEC_AFF_DT,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
State,,,ST,true,false,true,false,
Status,,,,false,true,false,false,
Suffix,,,,false,false,true,false,
Title,,,,false,false,true,false,
Type,,,,false,true,false,false,
US_WORK_ELIGIBILTY,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
VA_BENEFIT,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
